"sepal.length","sepal.width","petal.length","petal.width","variety"
5.1,3.5,1.4,.2,"Setosa"
4.9,3.1,1.5,.1,"Setosa"
5.1,3.5,1.4,.3,"Setosa"
4.8,3.4,1.9,.2,"Setosa"
5,3.2,1.2,.2,"Setosa"
4.8,3,1.4,.3,"Setosa"
7,3.2,4.7,1.4,"Versicolor"
6.1,2.8,4.7,1.2,"Versicolor"
6.1,3,4.6,1.4,"Versicolor"
6,2.9,4.5,1.5,"Versicolor"
5.7,3,4.2,1.2,"Versicolor"
5.8,2.7,4.1,1,"Versicolor"
6.5,3,5.5,1.8,"Virginica"
7.1,3,5.9,2.1,"Virginica"
4.9,2.5,4.5,1.7,"Virginica"
5.8,2.8,5.1,2.4,"Virginica"
7.2,3.2,6,1.8,"Virginica"
6.7,3,5.2,2.3,"Virginica"
